code,name,faculty,date,start,end,remarks
20.111,Sustainable Design Option Studio 1,Khoo Peng Beng,,,,no final exam
20.302,Advanced Topics in Performative Design: Daylight and Electric Lighting,Daniel Whittaker,,,,no final exam
20.317,Augmented Design,Daryl Ho,,,,no final exam
20.323,Forms and Types of Media Representation,Eva Castro,,,,no final exam
30.114,Advanced Feedback & Control,Foong Shaohui,2026-12-16,13:00,15:00,TBC venue
30.119,Intelligent Robotics,Tan U-Xuan,2026-12-18,15:00,17:00,TBC venue
30.120,Design and Manufacturing,Pablo Alvaro,2026-12-17,09:00,11:00,TBC venue
30.123,Healthcare Product Design,Huang Shaoying,,,,no final exam
30.202,Design of Intelligent Digital Integrated Circuits and Systems,Teo Tee Hui,,,,no final exam
30.303,Industry 4.0 & 3D Printing,Soh Gim Song,2026-12-16,09:00,11:00,TBC venue
40.242,Derivative Pricing and Risk Management,Douglas Streeter Rolph,2026-12-16,09:00,11:00,TBC venue
40.302,Advanced Topics in Optimisation (weeks 1-6),Antonios Varvitsiotis,,,,no final exam
40.305,Advanced Topics in Stochastic Modeling (weeks 8-13),Lee Young,2026-12-17,09:00,11:00,TBC venue
40.318,Supply Chain Digitalisation and Design,Ying Xu,,,,no final exam
40.321,Airport Systems Modelling and Simulation,Nuno Ribeiro,2026-12-18,09:00,11:00,TBC venue
40.323,Equity Valuation,Douglas Streeter Rolph,2026-12-16,13:00,15:00,TBC venue
01.107,Urban Transportation,Cai Yutong,2026-12-16,09:00,11:00,TBC venue
50.006,User Interface Design and Implementation,Kenny Choo,2026-12-18,15:00,17:00,TBC venue
50.020,Network Security,Daisuke,2026-12-18,09:00,11:00,TBC venue
50.033,Foundations of Game Design and Development,Natalie,,,,no final exam
50.037,Blockchain Technology,Ertem Esiner,2026-12-16,13:00,15:00,TBC venue
50.040,Natural Language Processing,"Wenxuan, Esther Zhao",,,,no final exam
50.046,Cloud Computing and IoT,"Jihong, Kim Seungnyun",,,,no final exam
50.047,Mobile Robotics,Malika,,,,no final exam
50.052,Extended Reality,Peng Song,2026-12-16,09:00,11:00,TBC venue
50.054,Compiler Design and Program Analysis,Kenny Lu,2026-12-17,13:00,15:00,TBC venue
50.057,Modern Software Design Studio with Agentic AI,Oka and Kenny Lu,,,,no final exam
60.006,Spatial Design Studio,Immanuel Koh,,,,no final exam
02.146,Financing Cities of the Future: Theory and Practice,Jin Murakami,,,,no final exam
02.170HT,History of Surveillance in Modern Asia,Takahiro Yamamoto,,,,no final exam
02.230TS,Health Communication and Behavior Change,Evelyn Chew,,,,no final exam
02.152TS,Urban Theory,Jeffrey Chan,,,,no final exam
02.208,Microeconomics,Su Mengyang,,,,no final exam
02.181HT,AI and Society,Bjorn Fischer,,,,no final exam
02.180DH,Worldbuilding: Critical and Creative Practices,Debbie Ding,,,,no final exam
02.183HT,Philosophy of Artificial Intelligence,Nathaniel Gan,,,,no final exam
02.143HT,Artificial Intelligence and Ethics,Grace Boey,,,,no final exam
01.101,Technologies for Sustainable Global Health,Julia Zhu Yajuan,,,,no final exam
01.400,Capstone,-,,,,no final exam
