code,name,session_type,day,start,end,weeks,faculty,venue,confidence
01.107,Urban Transportation,Seminar (CBL),Tue,11:30,13:30,"1-6,8-13",Cai Yutong,"Think Tank 2/3, 1.309/1.310",high
01.107,Urban Transportation,Seminar (CBL),Thu,11:30,13:30,"1-6,8-13",Cai Yutong,"Think Tank 2/3, 1.309/1.310",high
01.400,Capstone,Studio (CBL),Wed,10:30,13:30,"1-6,8-13",-,"Capstone 1, 1.411",high
01.400,Capstone,Studio (CBL),Fri,08:30,11:30,"1-6,8-13",-,"Capstone 1, 1.411",high
40.242,Derivative Pricing and Risk Management,Seminar (CBL),Tue,11:30,13:30,"1-6,8-13",Douglas Streeter Rolph,"Think Tank 20, 2.305",high
40.242,Derivative Pricing and Risk Management,Seminar (CBL),Thu,11:30,13:30,"1-6,8-13",Douglas Streeter Rolph,"Think Tank 20, 2.305",high
40.302,Advanced Topics in Optimisation (weeks 1-6),Lecture,Tue,09:00,11:00,"1-6",Antonios Varvitsiotis,"Lecture Theatre 2, 1.203/1.318",high
40.302,Advanced Topics in Optimisation (weeks 1-6),Seminar (CBL),Tue,14:00,16:00,"1-6",Antonios Varvitsiotis,"Think Tank 2/3, 1.309/1.310",high
40.302,Advanced Topics in Optimisation (weeks 1-6),Seminar (CBL),Thu,13:30,15:30,"1-6",Antonios Varvitsiotis,"Think Tank 2/3, 1.309/1.310",high
40.305,Advanced Topics in Stochastic Modeling (weeks 8-13),Lecture,Tue,09:00,11:00,"8-13",Lee Young,"Lecture Theatre 2, 1.203/1.318",high
40.305,Advanced Topics in Stochastic Modeling (weeks 8-13),Seminar (CBL),Tue,14:00,16:00,"8-13",Lee Young,"Think Tank 2/3, 1.309/1.310",high
40.305,Advanced Topics in Stochastic Modeling (weeks 8-13),Seminar (CBL),Thu,13:30,15:30,"8-13",Lee Young,"Think Tank 2/3, 1.309/1.310",high
